id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval	lo_ci	up_ci	or	or_lci95	or_uci95	qvalue
ebi-a-GCST90001391	PCOS	PCOS	IgD+ B cell %B cell	Inverse variance weighted	9	-0.02914416	0.041091079	0.478164633	-0.109682674	0.051394354	0.971276435	0.896118452	1.052737963	1
ebi-a-GCST90001391	PCOS	PCOS	IgD+ B cell %B cell	MR Egger	9	-0.015765773	0.058768076	0.796224518	-0.130951201	0.099419655	0.984357856	0.877260583	1.104529724	1
ebi-a-GCST90001391	PCOS	PCOS	IgD+ B cell %B cell	Weighted median	9	-0.026907606	0.051803146	0.60346767	-0.128441773	0.07462656	0.973451178	0.87946477	1.077481701	1
ebi-a-GCST90001392	PCOS	PCOS	IgD+ CD38+ B cell Absolute Count	Inverse variance weighted	18	-0.057543506	0.028830695	0.045943593	-0.114051669	-0.001035344	0.944080816	0.892211855	0.998965192	1
ebi-a-GCST90001392	PCOS	PCOS	IgD+ CD38+ B cell Absolute Count	MR Egger	18	-0.051875504	0.036661823	0.176243991	-0.123732677	0.019981669	0.949447062	0.88361602	1.020182639	1
ebi-a-GCST90001392	PCOS	PCOS	IgD+ CD38+ B cell Absolute Count	Weighted median	18	-0.049824121	0.038476248	0.195343721	-0.125237567	0.025589325	0.95139674	0.882287275	1.025919542	1
ebi-a-GCST90001393	PCOS	PCOS	IgD+ CD38dim B cell %B cell	Inverse variance weighted	8	0.03551048	0.076034758	0.640478726	-0.113517646	0.184538607	1.036148507	0.892688444	1.202663411	1
ebi-a-GCST90001393	PCOS	PCOS	IgD+ CD38dim B cell %B cell	MR Egger	8	0.142478651	0.15519822	0.394002725	-0.16170986	0.446667161	1.153128462	0.850687987	1.563093954	1
ebi-a-GCST90001393	PCOS	PCOS	IgD+ CD38dim B cell %B cell	Weighted median	8	0.049121437	0.097739746	0.615263941	-0.142448466	0.24069134	1.050347895	0.867232246	1.27212832	1
ebi-a-GCST90001394	PCOS	PCOS	IgD+ CD38dim B cell Absolute Count	Inverse variance weighted	15	-0.005411227	0.020839918	0.795128487	-0.046257466	0.035435012	0.994603387	0.954796103	1.036070313	1
